Date,Equal Weight,Custom Weight,SPY Benchmark
2021-09-21,24045.271589250264,22036.920214263086,13730.079474956956
2021-09-22,24545.46775461815,22442.84644949634,13864.01041115954
2021-09-23,24829.037318615156,22643.30564619739,14032.459024299998
2021-09-24,24680.687112138192,22561.73264641252,14055.573521703704
2021-09-27,24294.679264786588,22224.32463685007,14015.360953658204
2021-09-28,23449.44861125382,21493.690610055855,13732.927951073762
2021-09-29,23444.628743520487,21526.186542046624,13756.041417914468
2021-09-30,23390.418417604247,21424.700839193647,13587.910218176314
2021-10-01,23662.14195350711,21717.988159498436,13749.39119491094
2021-10-04,22920.582145088996,21112.7351691614,13572.08077058075
2021-10-05,23459.625721470147,21554.70504694652,13713.29572602848
2021-10-06,23721.956456928205,21791.453086433678,13770.28998187646
2021-10-07,23983.980380976758,22001.339654317286,13889.342680127407
2021-10-08,23869.660132399342,21926.440789733395,13864.010411159536
2021-10-11,23795.97020680802,21873.84297005793,13763.640789435927
2021-10-12,23678.175541572924,21748.97875577334,13729.762061554642
2021-10-13,23839.47559549173,21870.373794989857,13779.154884755171
2021-10-14,24479.1666282203,22406.019117375377,14010.92747165585
2021-10-15,24623.34303081039,22540.473238826344,14117.631964106668
2021-10-18,24938.50578851602,22812.442932389647,14159.427476911722
2021-10-19,25114.730335799228,22991.92317335795,14268.666123766021
2021-10-20,25050.366701665007,22959.79285723174,14324.709169970074
2021-10-21,25376.181348797498,23195.775697412664,14362.072231335771
2021-10-22,25300.598064691676,23105.917045632537,14347.190901695152
2021-10-25,25432.950338867282,23161.491744072617,14424.131704301735
2021-10-26,26093.79854850675,23573.546039140492,14437.113706343487
2021-10-27,26339.124563512334,23890.24131478522,14373.155936341653
2021-10-28,26766.54606846084,24259.70707535269,14511.839829074885
2021-10-29,27028.474069263422,24422.804402589776,14541.286105516812
2021-11-01,27008.449680862283,24351.417697266046,14566.301991645374
2021-11-02,27375.374777648733,24640.170655574544,14625.191452840245
2021-11-03,27556.71119510921,24799.25993177663,14714.482522372948
2021-11-04,28697.828165222476,25434.300344417275,14783.82498402106
2021-11-05,28705.564498149277,25450.8908993542,14835.12022650944
2021-11-08,29017.249076153967,25602.521847647145,14847.784815148883
2021-11-09,28965.027077152055,25571.66677759385,14798.707344224673
2021-11-10,28254.704270720016,25018.99455198187,14679.651554284741
2021-11-11,28595.57776689621,25223.062354600977,14684.40038856341
